                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7813,                 2.7763,                 1.4303,                0.76798,                0.68608,                 0.7503,                0.41926,                 1.6109,                 1.4681,                 1.3688,             0.00022118,             0.00022118,             0.00022118
                      2,                 1.4689,                 1.4196,                 1.2313,                0.82232,                0.72901,                0.82541,                 0.4822,                 1.5044,                 1.3487,                 1.2994,             0.00043473,             0.00043473,             0.00043473
                      3,                 1.3728,                 1.0996,                 1.1869,                0.83769,                0.78321,                0.84973,                0.50601,                  1.436,                  1.052,                 1.2674,             0.00063948,             0.00063948,             0.00063948
                      4,                 1.3036,                0.91178,                 1.1542,                0.84738,                0.75494,                0.80656,                0.51203,                 1.3664,                 0.9539,                 1.2451,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.2238,                0.78703,                 1.1183,                0.92457,                0.87112,                0.92254,                0.60952,                 1.2134,                 0.7146,                 1.1609,             0.00062738,             0.00062738,             0.00062738
                      6,                  1.157,                0.71767,                 1.0916,                0.86815,                0.79418,                0.86887,                0.56234,                 1.2548,                0.90959,                 1.1817,             0.00061417,             0.00061417,             0.00061417
                      7,                 1.1229,                 0.6775,                  1.077,                0.92906,                0.85872,                0.92022,                0.62474,                 1.2016,                0.71469,                 1.1586,             0.00060097,             0.00060097,             0.00060097
                      8,                 1.0815,                0.63912,                 1.0581,                0.95084,                0.90213,                0.94711,                 0.6668,                 1.0752,                0.56261,                 1.0943,             0.00058776,             0.00058776,             0.00058776
                      9,                 1.0526,                0.61083,                 1.0493,                0.95337,                0.91862,                0.95441,                0.68467,                 1.0209,                 0.5252,                 1.0794,             0.00057455,             0.00057455,             0.00057455
                     10,                 1.0234,                0.59399,                 1.0379,                0.94285,                0.91406,                0.95504,                0.68831,                 1.0126,                0.51565,                 1.0705,             0.00056135,             0.00056135,             0.00056135
                     11,                 1.0028,                0.57254,                 1.0249,                0.95361,                0.92223,                0.95951,                 0.6996,                0.96499,                0.49288,                 1.0442,             0.00054814,             0.00054814,             0.00054814
                     12,                0.97525,                0.54845,                 1.0146,                0.95989,                0.92761,                0.96414,                0.71061,                 0.9221,                0.46733,                 1.0368,             0.00053493,             0.00053493,             0.00053493
                     13,                0.96222,                0.54096,                 1.0119,                0.95972,                0.92507,                0.96263,                0.71012,                0.93702,                 0.4705,                 1.0287,             0.00052173,             0.00052173,             0.00052173
                     14,                0.94531,                0.53576,                 1.0061,                 0.9649,                0.92937,                0.96461,                0.71817,                0.93656,                0.45574,                 1.0375,             0.00050852,             0.00050852,             0.00050852
                     15,                0.92727,                0.51953,                0.99633,                0.96345,                0.93585,                0.96916,                0.73083,                0.89423,                  0.442,                 1.0134,             0.00049531,             0.00049531,             0.00049531
