                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8119,                 3.2206,                  1.474,                0.69801,                0.59187,                0.64198,                0.35525,                 1.6715,                 1.7838,                 1.4745,              0.0033161,              0.0033161,              0.0033161
                      2,                 1.5258,                 1.6726,                 1.2775,                 0.7043,                 0.6276,                0.69339,                0.39862,                 1.5679,                  1.904,                 1.3921,              0.0065836,              0.0065836,              0.0065836
                      3,                 1.4769,                 1.4089,                 1.2496,                0.59943,                0.47788,                0.50928,                0.26768,                  1.936,                 2.3049,                 1.6699,              0.0097851,              0.0097851,              0.0097851
                      4,                  1.464,                 1.2074,                 1.2398,                0.68522,                 0.5455,                0.59913,                0.33837,                 1.6992,                 1.7029,                 1.4708,               0.009703,               0.009703,               0.009703
                      5,                 1.3564,                0.96638,                 1.1849,                0.76029,                0.67004,                0.74915,                0.44837,                 1.4585,                 1.1959,                 1.3058,               0.009703,               0.009703,               0.009703
                      6,                 1.2706,                0.84633,                 1.1495,                 0.8006,                 0.5916,                0.67929,                0.40927,                 1.5946,                  1.419,                 1.3918,               0.009604,               0.009604,               0.009604
                      7,                 1.2315,                0.78887,                 1.1266,                 0.8892,                 0.7895,                0.85804,                0.54883,                 1.3269,                0.86289,                 1.2323,               0.009505,               0.009505,               0.009505
                      8,                 1.1786,                0.73265,                 1.1015,                0.94477,                0.89087,                0.93772,                0.63638,                  1.135,                0.61054,                 1.1274,               0.009406,               0.009406,               0.009406
                      9,                 1.1444,                 0.6942,                   1.09,                0.92778,                0.86669,                0.92314,                0.63339,                 1.1186,                0.62272,                 1.1236,               0.009307,               0.009307,               0.009307
                     10,                 1.1108,                0.66727,                 1.0775,                0.89986,                  0.828,                0.90979,                0.61346,                 1.1488,                0.68833,                 1.1285,               0.009208,               0.009208,               0.009208
                     11,                 1.0887,                0.64191,                 1.0648,                0.95164,                0.90599,                0.95002,                0.67259,                 1.0392,                0.54427,                 1.0909,               0.009109,               0.009109,               0.009109
                     12,                 1.0545,                0.61818,                 1.0521,                0.95632,                 0.9091,                0.95253,                0.67719,                 1.0393,                0.52743,                 1.0913,                0.00901,                0.00901,                0.00901
                     13,                 1.0389,                 0.6055,                 1.0454,                0.95883,                0.91979,                0.95806,                0.69356,                0.99135,                0.50326,                 1.0561,               0.008911,               0.008911,               0.008911
                     14,                 1.0234,                0.59478,                 1.0396,                0.95047,                0.91064,                0.95212,                 0.6805,                  1.005,                0.51629,                 1.0723,               0.008812,               0.008812,               0.008812
                     15,                 1.0032,                0.57895,                 1.0305,                0.95124,                0.90739,                0.94374,                0.67156,                 1.0517,                0.52592,                 1.0899,               0.008713,               0.008713,               0.008713
                     16,                0.99305,                0.56835,                 1.0278,                0.94068,                0.90613,                0.93969,                 0.6709,                 1.0436,                0.53218,                 1.0837,               0.008614,               0.008614,               0.008614
                     17,                0.97863,                0.55726,                 1.0207,                0.95974,                0.93344,                0.96123,                0.70887,                0.95288,                0.46756,                 1.0442,               0.008515,               0.008515,               0.008515
                     18,                  0.968,                0.55097,                 1.0157,                0.95746,                0.92756,                0.96213,                0.71534,                0.93846,                0.46107,                 1.0335,               0.008416,               0.008416,               0.008416
                     19,                0.94876,                 0.5371,                 1.0091,                 0.9605,                0.93713,                0.96455,                 0.7278,                0.91009,                0.44491,                 1.0275,               0.008317,               0.008317,               0.008317
                     20,                0.95157,                0.53907,                 1.0128,                0.97247,                0.93028,                0.96699,                0.73673,                0.87719,                 0.4331,                 1.0118,               0.008218,               0.008218,               0.008218
                     21,                0.93197,                 0.5225,                 1.0049,                0.96589,                 0.9365,                0.96993,                 0.7465,                0.86106,                0.41855,                 1.0103,               0.008119,               0.008119,               0.008119
                     22,                0.92254,                0.51868,                0.99965,                0.96446,                0.93842,                0.96799,                0.74272,                0.87516,                0.42175,                 1.0098,                0.00802,                0.00802,                0.00802
                     23,                0.91496,                0.51162,                0.99786,                0.96581,                0.93795,                0.96862,                0.74486,                0.86103,                0.41416,                 1.0072,               0.007921,               0.007921,               0.007921
                     24,                0.90629,                0.50819,                0.99215,                 0.9685,                0.93862,                0.96992,                0.75207,                0.85072,                 0.4138,                 1.0026,               0.007822,               0.007822,               0.007822
                     25,                0.90554,                0.50364,                0.98958,                0.96802,                0.93621,                0.96836,                0.75996,                0.82583,                0.40696,                0.99129,               0.007723,               0.007723,               0.007723
                     26,                0.88503,                0.49536,                0.98612,                0.97024,                0.94069,                0.97006,                0.75905,                0.83013,                0.40221,                0.99974,               0.007624,               0.007624,               0.007624
                     27,                0.88572,                0.49308,                0.98646,                0.97183,                0.94377,                0.97332,                0.76217,                0.81482,                0.39647,                0.99177,               0.007525,               0.007525,               0.007525
                     28,                0.87493,                0.48488,                0.98181,                0.96827,                0.94414,                0.97157,                0.76213,                0.81237,                0.39207,                0.99027,               0.007426,               0.007426,               0.007426
                     29,                0.86797,                0.48346,                0.97601,                0.97104,                0.94397,                0.97302,                0.76745,                0.79277,                0.38203,                0.98319,               0.007327,               0.007327,               0.007327
                     30,                0.86282,                0.48013,                0.97596,                 0.9748,                0.94192,                0.97243,                0.76854,                0.79135,                0.38097,                0.97547,               0.007228,               0.007228,               0.007228
                     31,                0.85598,                0.47417,                0.97377,                0.96764,                0.94724,                0.97298,                0.77651,                0.77982,                0.37696,                0.97723,               0.007129,               0.007129,               0.007129
                     32,                0.85336,                0.46998,                0.97043,                0.97068,                0.94786,                 0.9748,                0.77544,                0.78213,                0.36923,                0.98061,                0.00703,                0.00703,                0.00703
                     33,                0.84706,                0.46622,                 0.9711,                0.97173,                0.94709,                0.97604,                0.77904,                0.76792,                0.36758,                0.96691,               0.006931,               0.006931,               0.006931
                     34,                0.83894,                0.46338,                0.96826,                 0.9674,                0.94873,                0.97529,                0.77664,                0.77028,                0.36828,                0.96863,               0.006832,               0.006832,               0.006832
                     35,                0.83493,                0.46093,                0.96418,                0.97439,                0.94785,                0.97568,                0.78509,                0.74897,                0.36125,                0.96602,               0.006733,               0.006733,               0.006733
                     36,                 0.8204,                 0.4533,                0.96216,                0.96733,                0.95092,                 0.9757,                0.78186,                 0.7541,                0.36161,                0.96477,               0.006634,               0.006634,               0.006634
                     37,                0.82841,                0.45629,                0.96219,                0.97642,                0.94538,                0.97811,                0.79008,                0.74094,                0.35014,                0.96127,               0.006535,               0.006535,               0.006535
                     38,                 0.8191,                0.44978,                0.96148,                0.97099,                0.95175,                0.97816,                0.79162,                0.73769,                0.34844,                0.95928,               0.006436,               0.006436,               0.006436
                     39,                0.81788,                0.44848,                0.96097,                0.97479,                0.94852,                0.97816,                0.79259,                0.73295,                0.35041,                0.95851,               0.006337,               0.006337,               0.006337
                     40,                0.81894,                0.44816,                0.95861,                0.97297,                0.94796,                0.97735,                0.79442,                 0.7243,                0.34446,                0.95543,               0.006238,               0.006238,               0.006238
                     41,                0.80651,                0.44136,                0.95643,                0.97504,                0.94763,                0.97734,                0.79517,                 0.7212,                0.34334,                0.95516,               0.006139,               0.006139,               0.006139
                     42,                0.80704,                0.44085,                0.95448,                0.97072,                0.95391,                 0.9794,                0.79773,                0.71746,                0.34012,                0.95388,                0.00604,                0.00604,                0.00604
                     43,                0.80075,                0.43853,                0.95556,                0.97509,                0.95082,                0.97946,                0.80095,                0.71311,                 0.3387,                0.94973,               0.005941,               0.005941,               0.005941
                     44,                0.79336,                0.43282,                0.94907,                0.97114,                0.95219,                0.97902,                0.80161,                0.70399,                0.33338,                0.94817,               0.005842,               0.005842,               0.005842
                     45,                0.78751,                0.42926,                0.94961,                0.97108,                0.95298,                0.97842,                0.80423,                0.70374,                0.33383,                0.94995,               0.005743,               0.005743,               0.005743
                     46,                0.78973,                0.43076,                0.94822,                0.97075,                0.95697,                0.97936,                0.80639,                0.69241,                0.32869,                0.94619,               0.005644,               0.005644,               0.005644
                     47,                0.77729,                0.42544,                0.94378,                 0.9723,                0.95742,                0.97932,                0.80801,                0.69107,                0.32826,                0.94856,               0.005545,               0.005545,               0.005545
                     48,                0.77452,                0.42377,                0.94353,                0.97553,                0.95516,                0.98002,                0.80574,                0.69579,                0.33173,                0.94575,               0.005446,               0.005446,               0.005446
                     49,                0.77769,                0.42499,                 0.9469,                0.97547,                 0.9554,                0.98006,                0.80681,                0.69364,                 0.3275,                0.94872,               0.005347,               0.005347,               0.005347
                     50,                0.76814,                0.41691,                0.94115,                0.97612,                0.95656,                0.98084,                0.81174,                 0.6824,                  0.323,                0.94164,               0.005248,               0.005248,               0.005248
                     51,                0.76127,                0.41502,                0.93958,                0.97576,                0.95662,                0.98086,                0.81231,                0.67937,                0.32279,                0.94089,               0.005149,               0.005149,               0.005149
                     52,                0.76159,                0.41176,                0.94014,                0.97454,                0.95518,                0.98122,                0.81254,                0.67373,                0.32103,                0.94046,                0.00505,                0.00505,                0.00505
                     53,                 0.7607,                0.41341,                0.94084,                0.97412,                0.95809,                 0.9812,                0.81454,                0.67718,                0.31874,                0.94232,               0.004951,               0.004951,               0.004951
                     54,                0.75373,                0.40924,                0.93689,                0.97376,                 0.9594,                 0.9816,                0.81545,                0.67197,                0.31702,                0.94042,               0.004852,               0.004852,               0.004852
                     55,                0.74998,                0.40675,                0.93598,                0.97331,                0.95932,                0.98107,                0.81542,                0.67137,                0.31438,                0.94106,               0.004753,               0.004753,               0.004753
                     56,                0.75288,                0.40657,                0.93812,                0.97183,                0.95911,                0.98082,                0.81741,                0.67027,                0.31396,                0.94137,               0.004654,               0.004654,               0.004654
